digit,target_deg,mean_angle_deg,std_angle_deg,mean_radius
0,0.0,-2.2574219703674316,6.307265758514404,1.0
1,36.0,36.199893951416016,9.90440559387207,1.0
2,72.0,76.30435943603516,13.996223449707031,1.0
3,108.0,111.47438049316406,18.82594108581543,1.0
4,144.0,145.88670349121094,23.639446258544922,1.0
5,180.0,179.3450469970703,146.9271240234375,1.0
6,216.0,-144.82908630371094,19.76226806640625,1.0
7,252.0,-106.10090637207031,17.032333374023438,1.0
8,288.0,-70.89067077636719,16.07447624206543,1.0
9,324.0,-37.36262893676758,16.48784637451172,1.0
