rank,component,sigma,spec_max,top_feature,asym_lr
1,20,196.60385131835938,0.21913394331932068,number,1.147750735282898
2,59,172.9886474609375,0.21117158234119415,number,2.1266696453094482
3,9,170.25535583496094,0.16277970373630524,color,2.2761330604553223
4,5,169.6467742919922,0.19951078295707703,number,2.3280694484710693
5,32,162.3113555908203,0.21460050344467163,color,1.1263599395751953
6,31,159.8459930419922,0.16986054182052612,body_part,1.2117228507995605
7,56,153.91627502441406,0.20091943442821503,body_part,1.237777829170227
8,7,151.07635498046875,0.1851494312286377,number,1.221977710723877
9,27,149.6437225341797,0.2069193720817566,number,0.9522497653961182
10,54,144.22958374023438,0.19275349378585815,number,1.1554841995239258
11,16,144.0611572265625,0.1861914098262787,number,1.0941503047943115
12,51,140.92234802246094,0.17583222687244415,number,1.7542459964752197
13,41,140.84100341796875,0.22065408527851105,food,1.1048922538757324
14,10,139.8931121826172,0.19290906190872192,number,1.2578799724578857
15,3,136.9792938232422,0.2336629331111908,color,2.2434942722320557
16,8,136.96620178222656,0.18874728679656982,body_part,1.9701138734817505
17,1,114.16839599609375,0.19003167748451233,body_part,2.2283923625946045
18,38,113.7456283569336,0.2202303260564804,number,1.618815302848816
19,13,111.25728607177734,0.2300315648317337,color,1.3069260120391846
20,18,109.72915649414062,0.16071061789989471,color,1.4301477670669556
