d,feature,linear,nonlinear,gap
4,number,0.5833333333333334,0.5986666666666667,0.01533333333333331
4,question,0.9926666666666667,0.9926666666666667,0.0
4,color,0.6793333333333333,0.7866666666666666,0.10733333333333328
4,food,0.894,0.896,0.0020000000000000018
4,sentiment,0.5513333333333333,0.7593333333333333,0.20799999999999996
4,country,0.9373333333333334,0.936,-0.0013333333333332975
4,person,0.48533333333333334,0.9066666666666666,0.4213333333333333
4,body_part,0.866,0.866,0.0
2,number,0.514,0.536,0.02200000000000002
2,question,0.482,0.5213333333333333,0.03933333333333333
2,color,0.5213333333333333,0.5306666666666666,0.009333333333333305
2,food,0.7046666666666667,0.8933333333333333,0.18866666666666665
2,sentiment,0.608,0.7973333333333333,0.18933333333333335
2,country,0.6773333333333333,0.858,0.18066666666666664
2,person,0.49533333333333335,0.492,-0.003333333333333355
2,body_part,0.9486666666666667,0.948,-0.0006666666666667043
